mileage_kmpl,engine_cc,owner_count,price_usd,color,accidents_reported,insurance_valid,car_age,brand_BMW,brand_Chevrolet,brand_Ford,brand_Honda,brand_Hyundai,brand_Kia,brand_Nissan,brand_Tesla,brand_Toyota,brand_Volkswagen,fuel_type_Diesel,fuel_type_Electric,fuel_type_Petrol,transmission_Automatic,transmission_Manual,service_history_Full,service_history_Partial,service_history_Unknown
8.17,4000,4,8587.64,White,0,No,25,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True
17.59,1500,4,5943.5,Black,0,Yes,12,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True
18.09,2500,5,9273.58,Black,1,Yes,3,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False
11.28,800,1,6836.24,Blue,0,Yes,17,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False,False
12.23,1000,2,4625.79,Red,0,Yes,21,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,True,False,False
13.77,2500,4,6856.03,Gray,1,Yes,24,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False
12.5,1000,3,6806.77,Red,0,Yes,3,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False
17.46,2000,5,7701.84,Blue,0,Yes,11,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True
14.99,5000,2,8730.52,Silver,1,No,25,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False
19.59,4000,4,10812.16,White,0,Yes,6,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False
21.25,1800,2,10070.16,Red,0,No,13,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True
20.91,5000,5,9638.93,Silver,0,Yes,9,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False
15.95,2500,3,5543.9,Black,1,Yes,21,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,True,False,False
19.42,800,4,5855.47,Silver,0,Yes,21,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,True,False,False
23.18,3000,3,9773.77,Blue,0,Yes,8,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False
20.23,4000,5,9468.89,White,1,Yes,11,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,True,False,False
27.29,1800,3,6491.29,Gray,2,Yes,28,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True
22.91,2000,5,6202.99,Red,1,Yes,24,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False
26.59,3000,3,9921.66,Blue,0,Yes,8,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,True,False,False
5.54,1500,2,1223.8,Black,1,Yes,29,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False
18.48,1000,2,5591.11,Black,1,Yes,10,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False
16.38,5000,5,13054.69,Gray,0,Yes,11,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False
17.38,3000,2,5209.92,White,1,No,30,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False
13.98,1000,3,4916.24,Gray,0,Yes,8,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True
19.98,1800,3,5906.84,Gray,0,Yes,20,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,True,False,False
8.96,2000,4,2626.29,Gray,0,No,26,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,True
20.02,1800,5,5167.78,Red,0,Yes,30,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False
14.14,2000,2,7992.87,Black,1,Yes,4,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False
15.5,2000,5,4481.1,Blue,1,Yes,11,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True
20.19,1200,2,5047.31,Black,0,No,31,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,True,False,False
18.39,1200,4,7529.89,Red,1,Yes,20,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True
23.27,4000,3,11362.28,Silver,0,Yes,6,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,True,False,False
13.15,1200,3,8934.87,Black,1,Yes,10,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True
17.6,1200,1,9565.19,Black,0,Yes,3,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True
22.44,1000,5,3616.11,Black,0,Yes,20,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True
19.81,2500,2,11251.36,Silver,3,Yes,7,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True
20.13,5000,1,10860.67,Red,0,Yes,15,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False
23.54,5000,5,12256.44,Blue,0,Yes,5,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True
